author_type,url,location,deal_type,accommodation_type,price,year_of_construction,house_material_type,living_meters,floors_count,underground,creation_date,price_per_m2,underground_list,month,year_month,year,day_of_week
realtor_based,https://www.cian.ru/rent/flat/317217035/,Москва,rent_long,flat,415000.0,,unknown,30.0,85,"Москва-Сити, Деловой центр, Деловой центр, Деловой центр, Москва-Сити, Москва-Сити, Шелепиха, Шелепиха",2025-05-06,13833.333333333334,"['Москва-Сити', 'Деловой центр', 'Деловой центр', 'Деловой центр', 'Москва-Сити', 'Москва-Сити', 'Шелепиха', 'Шелепиха']",5,2025-05,2025,1
realtor_based,https://www.cian.ru/rent/flat/318355920/,Москва,rent_long,flat,450000.0,2002.0,monolith,30.0,7,"Кропоткинская, Парк Культуры, Смоленская, Боровицкая",2025-06-04,15000.0,"['Кропоткинская', 'Парк Культуры', 'Смоленская', 'Боровицкая']",6,2025-06,2025,2
realtor_based,https://www.cian.ru/rent/flat/319741863/,Москва,rent_long,flat,450000.0,,unknown,45.0,7,"Курская, Бауманская, Комсомольская, Красные ворота, Чкаловская, Курская",2025-07-14,10000.0,"['Курская', 'Бауманская', 'Комсомольская', 'Красные ворота', 'Чкаловская', 'Курская']",7,2025-07,2025,0
realtor_based,https://www.cian.ru/rent/flat/318643335/,Москва,rent_long,flat,450000.0,,unknown,30.0,61,"Деловой центр, Москва-Сити, Деловой центр, Москва-Сити, Деловой центр",2025-06-11,15000.0,"['Деловой центр', 'Москва-Сити', 'Деловой центр', 'Москва-Сити', 'Деловой центр']",6,2025-06,2025,2
realtor_based,https://www.cian.ru/rent/flat/302571689/,Москва,rent_long,flat,450000.0,,unknown,57.4,9,"Маяковская, Тверская, Пушкинская, Чеховская, Белорусская, Новослободская, Белорусская, Менделеевская",2024-05-27,7839.721254355401,"['Маяковская', 'Тверская', 'Пушкинская', 'Чеховская', 'Белорусская', 'Новослободская', 'Белорусская', 'Менделеевская']",5,2024-05,2024,0
realtor_not_commerce,https://www.cian.ru/rent/flat/308852289/,Москва,rent_long,flat,480000.0,,unknown,70.0,7,"Павелецкая, Новокузнецкая, Таганская",2024-10-20,6857.142857142857,"['Павелецкая', 'Новокузнецкая', 'Таганская']",10,2024-10,2024,6
realtor_not_commerce,https://www.cian.ru/rent/flat/305889251/,Москва,rent_long,flat,90000.0,1928.0,block,30.0,6,"Преображенская площадь, Сокольники, Сокольники",2024-08-13,3000.0,"['Преображенская площадь', 'Сокольники', 'Сокольники']",8,2024-08,2024,1
realtor_not_commerce,https://www.cian.ru/rent/flat/312862886/,Москва,rent_long,flat,115000.0,1949.0,block,45.0,8,"Белорусская, Белорусская, Динамо",2025-01-27,2555.5555555555557,"['Белорусская', 'Белорусская', 'Динамо']",1,2025-01,2025,0
realtor_not_commerce,https://www.cian.ru/rent/flat/290481167/,Москва,rent_long,flat,200000.0,2021.0,monolithBrick,30.0,30,"Водный стадион, Балтийская, Войковская",2023-07-26,6666.666666666667,"['Водный стадион', 'Балтийская', 'Войковская']",7,2023-07,2023,2
realtor_not_commerce,https://www.cian.ru/rent/flat/319707879/,Москва,rent_long,flat,25000.0,,unknown,13.0,5,"Профсоюзная, Академическая",2025-07-13,1923.076923076923,"['Профсоюзная', 'Академическая']",7,2025-07,2025,6
realtor_not_commerce,https://www.cian.ru/rent/flat/319480239/,Москва,rent_long,flat,30000.0,1970.0,block,20.0,12,"Щёлковская, Первомайская",2025-07-06,1500.0,"['Щёлковская', 'Первомайская']",7,2025-07,2025,6
